date,Net Profit,% Gain
2025/7/19,- 800.00 ¤,0.00%
2025/7/18,-5 000.00 ¤,-0.02%
2025/7/17,-1 000.00 ¤,0.00%
2025/7/16,29 000.00 ¤,0.09%
2025/7/15,53 000.00 ¤,0.17%
2025/7/14,28 400.00 ¤,0.09%
2025/7/12,-7 800.00 ¤,-0.02%
2025/7/11,16 400.00 ¤,0.05%
2025/7/10,30 600.00 ¤,0.10%
2025/7/9,79 000.00 ¤,0.25%
2025/7/8,-46 800.00 ¤,-0.15%
2025/6/25,10 400.00 ¤,0.03%
2025/6/24,160 200.00 ¤,0.51%
2025/6/23,20 000.00 ¤,0.06%
2025/6/22, 0.00 ¤,0.00%
2025/6/21,-8 000.00 ¤,-0.03%
2025/6/19,3 200.00 ¤,0.01%
2025/6/18,44 200.00 ¤,0.14%
2025/6/17,2 400.00 ¤,0.01%
2025/6/16,-50 800.00 ¤,-0.16%
2025/6/15, 0.00 ¤,0.00%
2025/6/14,25 400.00 ¤,0.08%
2025/6/13,35 800.00 ¤,0.11%
2025/6/12,26 400.00 ¤,0.08%
2025/6/11,-50 800.00 ¤,-0.16%
2025/6/10,-72 000.00 ¤,-0.23%
2025/6/9,-31 000.00 ¤,-0.10%
2025/6/8, 0.00 ¤,0.00%
2025/6/7,5 600.00 ¤,0.02%
2025/6/6,9 800.00 ¤,0.03%
2025/6/4,35 600.00 ¤,0.11%
2025/6/3,85 400.00 ¤,0.27%
2025/6/2,-7 400.00 ¤,-0.02%
2025/5/30,38 000.00 ¤,0.12%
2025/5/29,313 600.00 ¤,1.00%
2025/5/28,-171 200.00 ¤,-0.55%
2025/5/27,-69 600.00 ¤,-0.22%
2025/5/26,54 600.00 ¤,0.17%
2025/5/25, 0.00 ¤,0.00%
2025/5/24,- 400.00 ¤,0.00%
2025/5/23,14 400.00 ¤,0.05%
2025/5/22,-96 200.00 ¤,-0.31%
2025/5/21,62 000.00 ¤,0.20%
2025/5/9,-3 600.00 ¤,-0.01%
2025/5/8,79 800.00 ¤,0.25%
2025/4/26,76 400.00 ¤,0.24%
2025/4/25,5 200.00 ¤,0.02%
2025/4/24,58 600.00 ¤,0.19%
2025/4/23,194 200.00 ¤,0.63%
2025/4/22,61 800.00 ¤,0.20%
2025/4/19,1 400.00 ¤,0.00%
2025/4/18,-23 200.00 ¤,-0.07%
2025/4/17,11 000.00 ¤,0.04%
2025/4/16,-62 000.00 ¤,-0.20%
2025/4/15,173 400.00 ¤,0.56%
2025/4/14,37 000.00 ¤,0.12%
2025/4/13, 0.00 ¤,0.00%
2025/4/12,-3 800.00 ¤,-0.01%
2025/4/11,271 800.00 ¤,0.89%
2025/4/10,590 200.00 ¤,1.97%
2025/4/9,-427 600.00 ¤,-1.41%
2025/4/8,181 200.00 ¤,0.60%
2025/4/7,150 200.00 ¤,0.50%
2025/4/3,39 800.00 ¤,0.13%
2025/4/2,66 000.00 ¤,0.22%
2025/4/1,210 800.00 ¤,0.71%
2025/3/31,10 000.00 ¤,0.03%
2025/3/28,2 800.00 ¤,0.01%
2025/3/27,54 800.00 ¤,0.18%
2025/3/26,44 800.00 ¤,0.15%
2025/3/25,-3 200.00 ¤,-0.01%
2025/3/24,-2 400.00 ¤,-0.01%
2025/3/23, 0.00 ¤,0.00%
2025/3/22,-22 400.00 ¤,-0.08%
2025/3/21,-43 600.00 ¤,-0.15%
2025/3/20,166 600.00 ¤,0.56%
2025/3/19,-63 800.00 ¤,-0.22%
2025/3/18,4 600.00 ¤,0.02%
2025/3/17,65 600.00 ¤,0.22%
2025/3/16, 0.00 ¤,0.00%
2025/3/15,-4 400.00 ¤,-0.01%
2025/3/14,154 200.00 ¤,0.52%
2025/3/13,-116 600.00 ¤,-0.40%
2025/3/12,268 000.00 ¤,0.92%
2025/3/11,-25 400.00 ¤,-0.09%
2025/3/10,-172 400.00 ¤,-0.59%
2025/3/9, 0.00 ¤,0.00%
2025/3/8,52 000.00 ¤,0.18%
2025/3/7,-200 000.00 ¤,-0.68%
2025/3/6,141 400.00 ¤,0.48%
2025/3/5,574 400.00 ¤,1.99%
2025/3/4,-98 600.00 ¤,-0.34%
2025/3/3,12 000.00 ¤,0.04%
2025/3/2, 0.00 ¤,0.00%
2025/3/1, 0.00 ¤,0.00%
2025/2/28,-139 000.00 ¤,-0.48%
2025/2/27,-134 400.00 ¤,-0.46%
2025/2/26,345 200.00 ¤,1.20%
2025/2/25,-99 800.00 ¤,-0.34%
2025/2/24,43 800.00 ¤,0.15%
2025/2/23, 0.00 ¤,0.00%
2025/2/22, 0.00 ¤,0.00%
2025/2/21,-16 200.00 ¤,-0.06%
2025/2/20,-16 600.00 ¤,-0.06%
2025/2/19,4 800.00 ¤,0.02%
2025/2/18,25 400.00 ¤,0.09%
2025/2/17,34 800.00 ¤,0.12%
2025/2/16, 0.00 ¤,0.00%
2025/2/15,37 800.00 ¤,0.13%
2025/2/14,-43 000.00 ¤,-0.15%
2025/2/13,26 200.00 ¤,0.09%
2025/2/12,19 000.00 ¤,0.07%
2025/2/11,-3 600.00 ¤,-0.01%
2025/2/10, 0.00 ¤,0.00%
2025/2/9, 0.00 ¤,0.00%
2025/2/8, 0.00 ¤,0.00%
2025/2/7,8 600.00 ¤,0.03%
2025/2/6,38 400.00 ¤,0.13%
2025/2/5,144 200.00 ¤,0.50%
2025/2/4,81 200.00 ¤,0.28%
2025/2/3,176 600.00 ¤,0.62%
2025/2/2, 0.00 ¤,0.00%
2025/2/1, 0.00 ¤,0.00%
2025/1/31, 0.00 ¤,0.00%
2025/1/30, 0.00 ¤,0.00%
2025/1/29, 0.00 ¤,0.00%
2025/1/28, 0.00 ¤,0.00%
2025/1/27, 0.00 ¤,0.00%
2025/1/26, 0.00 ¤,0.00%
2025/1/25, 0.00 ¤,0.00%
2025/1/24, 0.00 ¤,0.00%
2025/1/23,-7 000.00 ¤,-0.02%
2025/1/22,-59 600.00 ¤,-0.21%
2025/1/21,-19 200.00 ¤,-0.07%
2025/1/20,57 800.00 ¤,0.20%
2025/1/19, 0.00 ¤,0.00%
2025/1/18,-26 800.00 ¤,-0.09%
2025/1/17,60 000.00 ¤,0.21%
2025/1/16,159 600.00 ¤,0.57%
2025/1/15,48 600.00 ¤,0.17%
2025/1/14,86 600.00 ¤,0.31%
2025/1/13,-92 200.00 ¤,-0.33%
2025/1/12, 0.00 ¤,0.00%
2025/1/11,2 000.00 ¤,0.01%
2025/1/10,1 200.00 ¤,0.00%
2025/1/9,-2 200.00 ¤,-0.01%
2025/1/8,52 800.00 ¤,0.19%
2025/1/7,64 200.00 ¤,0.23%
2025/1/6,204 400.00 ¤,0.73%
2025/1/5, 0.00 ¤,0.00%
2025/1/4,38 600.00 ¤,0.14%
2025/1/3,217 600.00 ¤,0.79%
2025/1/2,-21 400.00 ¤,-0.08%
2025/1/1,-25 000.00 ¤,-0.09%
2024/12/31,-22 200.00 ¤,-0.08%
2024/12/30,48 000.00 ¤,0.17%
2024/12/29, 0.00 ¤,0.00%
2024/12/28,-9 000.00 ¤,-0.03%
2024/12/27,21 400.00 ¤,0.08%
2024/12/26,21 600.00 ¤,0.08%
2024/12/25,-10 000.00 ¤,-0.04%
2024/12/24,21 400.00 ¤,0.08%
2024/12/23,218 400.00 ¤,0.80%
2024/12/22, 0.00 ¤,0.00%
2024/12/21,69 600.00 ¤,0.25%
2024/12/20,10 800.00 ¤,0.04%
2024/12/19,-4 200.00 ¤,-0.02%
2024/12/18,-4 600.00 ¤,-0.02%
2024/12/17,-44 200.00 ¤,-0.16%
2024/12/16,-53 200.00 ¤,-0.19%
2024/12/15, 0.00 ¤,0.00%
2024/12/14,7 600.00 ¤,0.03%
2024/12/13,206 400.00 ¤,0.76%
2024/12/12,-121 000.00 ¤,-0.44%
2024/12/11,9 200.00 ¤,0.03%
2024/12/10,68 800.00 ¤,0.25%
2024/12/9,-25 600.00 ¤,-0.09%
2024/12/8, 0.00 ¤,0.00%
2024/12/7,2 600.00 ¤,0.01%
2024/12/6,13 800.00 ¤,0.05%
2024/12/5,-9 800.00 ¤,-0.04%
2024/12/4,-60 400.00 ¤,-0.22%
2024/12/3,71 000.00 ¤,0.26%
2024/12/2,737 600.00 ¤,2.78%
2024/12/1, 0.00 ¤,0.00%
2024/11/30,44 800.00 ¤,0.17%
2024/11/29,204 800.00 ¤,0.78%
2024/11/28,3 600.00 ¤,0.01%
2024/11/27,92 600.00 ¤,0.35%
2024/11/26,-24 600.00 ¤,-0.09%
2024/11/25,22 600.00 ¤,0.09%
2024/11/24, 0.00 ¤,0.00%
2024/11/23,-2 600.00 ¤,-0.01%
2024/11/22,384 400.00 ¤,1.49%
2024/11/21,28 600.00 ¤,0.11%
2024/11/20,57 200.00 ¤,0.22%
2024/11/19,89 400.00 ¤,0.35%
2024/11/18,-3 800.00 ¤,-0.01%
2024/11/17, 0.00 ¤,0.00%
2024/11/16,8 000.00 ¤,0.03%
2024/11/15,68 400.00 ¤,0.27%
2024/11/14,-57 600.00 ¤,-0.23%
2024/11/13,106 800.00 ¤,0.42%
2024/11/12,72 400.00 ¤,0.28%
2024/11/11,-4 000.00 ¤,-0.02%
2024/11/10, 0.00 ¤,0.00%
2024/11/9,7 200.00 ¤,0.03%
2024/11/8,-19 200.00 ¤,-0.08%
2024/11/7,457 200.00 ¤,1.83%
2024/11/6,-142 800.00 ¤,-0.57%
2024/11/5,289 200.00 ¤,1.16%
2024/11/4,62 800.00 ¤,0.25%
2024/11/3, 0.00 ¤,0.00%
2024/11/2,28 200.00 ¤,0.11%
2024/11/1,-77 800.00 ¤,-0.31%
2024/10/31,19 200.00 ¤,0.08%
2024/10/30,60 400.00 ¤,0.24%
2024/10/29,30 800.00 ¤,0.12%
2024/10/28,- 200.00 ¤,0.00%
2024/10/27, 0.00 ¤,0.00%
2024/10/26,-4 600.00 ¤,-0.02%
2024/10/25,112 000.00 ¤,0.46%
2024/10/24,36 200.00 ¤,0.15%
2024/10/23,-3 600.00 ¤,-0.01%
2024/10/22,38 200.00 ¤,0.16%
2024/10/21,-164 800.00 ¤,-0.67%
2024/10/20, 0.00 ¤,0.00%
2024/10/19,-42 800.00 ¤,-0.17%
2024/10/18,-213 600.00 ¤,-0.86%
2024/10/17,728 400.00 ¤,3.01%
2024/10/16,140 000.00 ¤,0.58%
2024/10/15,-114 400.00 ¤,-0.47%
2024/10/14,98 200.00 ¤,0.41%
2024/10/13, 0.00 ¤,0.00%
2024/10/12,23 800.00 ¤,0.10%
2024/10/11,228 200.00 ¤,0.96%
2024/10/10,24 600.00 ¤,0.10%
2024/10/9,-27 400.00 ¤,-0.11%
2024/10/8,30 400.00 ¤,0.13%
2024/10/7,28 200.00 ¤,0.12%
2024/10/6, 0.00 ¤,0.00%
2024/10/5,-4 200.00 ¤,-0.02%
2024/10/4,241 800.00 ¤,1.03%
2024/10/3, 0.00 ¤,0.00%
2024/10/2,49 800.00 ¤,0.21%
2024/10/1,-110 600.00 ¤,-0.47%
2024/9/30,104 800.00 ¤,0.45%
2024/9/29, 0.00 ¤,0.00%
2024/9/28,28 200.00 ¤,0.12%
2024/9/27,18 200.00 ¤,0.08%
2024/9/26,85 400.00 ¤,0.37%
2024/9/25,135 600.00 ¤,0.58%
2024/9/24,291 400.00 ¤,1.27%
2024/9/23,128 800.00 ¤,0.56%
2024/9/22, 0.00 ¤,0.00%
2024/9/21,3 800.00 ¤,0.02%
2024/9/20,-70 200.00 ¤,-0.31%
2024/9/19,713 800.00 ¤,3.22%
2024/9/18,-14 400.00 ¤,-0.06%
2024/9/17,36 000.00 ¤,0.16%
2024/9/16,-39 000.00 ¤,-0.18%
2024/9/14,1 600.00 ¤,0.01%
2024/9/13,46 400.00 ¤,0.21%
2024/9/12,348 000.00 ¤,1.60%
2024/9/11,255 800.00 ¤,1.19%
2024/9/10,-54 800.00 ¤,-0.25%
2024/9/9,240 400.00 ¤,1.13%
2024/9/8, 0.00 ¤,0.00%
2024/9/7,-155 400.00 ¤,-0.72%
2024/9/6,-256 600.00 ¤,-1.18%
2024/9/5,88 200.00 ¤,0.41%
2024/9/4,68 600.00 ¤,0.32%
2024/9/3,107 400.00 ¤,0.50%
2024/9/2,-63 400.00 ¤,-0.29%
2024/9/1, 0.00 ¤,0.00%
2024/8/31,51 200.00 ¤,0.24%
2024/8/30,-35 400.00 ¤,-0.16%
2024/8/29,-32 200.00 ¤,-0.15%
2024/8/28,62 800.00 ¤,0.29%
2024/8/27,60 200.00 ¤,0.28%
2024/8/26,-69 000.00 ¤,-0.32%
2024/8/23,-31 200.00 ¤,-0.14%
2024/8/22,58 800.00 ¤,0.27%
2024/8/20,-22 800.00 ¤,-0.11%
2024/8/19,129 200.00 ¤,0.60%
2024/8/18, 0.00 ¤,0.00%
2024/8/17,74 600.00 ¤,0.35%
2024/8/16,-57 200.00 ¤,-0.27%
2024/8/15,257 000.00 ¤,1.22%
2024/8/14,49 600.00 ¤,0.24%
